file,roundId,optionId,word,imageId
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1812,10,"ağaç",10
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1812,281,"kaktüs",281
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1812,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1813,281,"kaktüs",281
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1813,10,"ağaç",10
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1813,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1813,434,"çim",434
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1814,434,"çim",434
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1814,10,"ağaç",10
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1814,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1814,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1815,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1815,536,"dal",536
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1815,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1815,10,"ağaç",10
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1816,27,"pamuk",27
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1816,434,"çim",434
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1816,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1816,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1817,57,"lale",57
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1817,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1817,76,"papatya",76
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1817,374,"menekşe",374
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1818,76,"papatya",76
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1818,57,"lale",57
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1818,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1818,374,"menekşe",374
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enProfessionsData.ts,1701,324,"doktor",324
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enProfessionsData.ts,1701,386,"hemşire",386
